"imfcode","year","CvHOwnPerc"
941,2004,40.9090909090909
941,2005,45.4545454545455
941,2006,50
941,2007,57.1428571428571
941,2008,61.9047619047619
941,2009,61.9047619047619
686,1995,33.3333333333333
686,1996,33.3333333333333
686,1997,28.5714285714286
686,1998,35.7142857142857
686,1999,35.7142857142857
686,2000,35.7142857142857
686,2001,35.7142857142857
686,2002,30.7692307692308
686,2003,36.3636363636364
686,2004,40
686,2005,36.3636363636364
686,2006,40
686,2007,40
686,2008,40
686,2009,50
921,1995,7.69230769230769
921,1996,7.69230769230769
921,1997,21.4285714285714
921,1998,26.6666666666667
921,1999,31.25
921,2000,31.25
921,2001,31.25
921,2002,31.25
921,2003,31.25
921,2004,31.25
921,2005,31.25
921,2006,37.5
921,2007,41.1764705882353
921,2008,41.1764705882353
921,2009,43.75
674,1995,75
674,1996,75
674,1997,75
674,1998,80
674,1999,100
674,2000,100
674,2001,100
674,2002,100
674,2003,100
674,2004,100
674,2005,100
674,2006,100
674,2007,100
674,2008,100
674,2009,100
273,1995,31.8181818181818
273,1996,38.2978723404255
273,1997,43.75
273,1998,44.4444444444444
273,1999,43.1818181818182
273,2000,48.780487804878
273,2001,47.5
273,2002,56.0975609756098
273,2003,56.4102564102564
273,2004,54.0540540540541
273,2005,50
273,2006,47.3684210526316
273,2007,46.3414634146341
273,2008,47.6190476190476
273,2009,47.6190476190476
962,1995,0
962,1996,15.3846153846154
962,1997,15.3846153846154
962,1998,15.3846153846154
962,1999,21.4285714285714
962,2000,35.7142857142857
962,2001,37.5
962,2002,37.5
962,2003,43.75
962,2004,43.75
962,2005,46.6666666666667
962,2006,50
962,2007,64.2857142857143
962,2008,71.4285714285714
962,2009,71.4285714285714
678,1995,20
678,1996,16.6666666666667
678,1997,16.6666666666667
678,1998,28.5714285714286
678,1999,37.5
678,2000,37.5
678,2001,42.8571428571429
678,2002,37.5
678,2003,37.5
678,2004,37.5
678,2005,37.5
678,2006,44.4444444444444
678,2007,44.4444444444444
678,2008,55.5555555555556
678,2009,55.5555555555556
948,1995,0
948,1996,0
948,1997,0
948,1998,0
948,1999,0
948,2000,0
948,2001,14.2857142857143
948,2002,14.2857142857143
948,2003,14.2857142857143
948,2004,14.2857142857143
948,2005,14.2857142857143
948,2006,12.5
948,2007,12.5
948,2008,12.5
948,2009,12.5
688,1995,33.3333333333333
688,1996,33.3333333333333
688,1997,83.3333333333333
688,1998,85.7142857142857
688,1999,100
688,2000,100
688,2001,90.9090909090909
688,2002,90.9090909090909
688,2003,90
688,2004,90
688,2005,90
688,2006,90
688,2007,90
688,2008,90.9090909090909
688,2009,90.9090909090909
682,1995,25
682,1996,20
682,1997,20
682,1998,20
682,1999,16.6666666666667
682,2000,16.6666666666667
682,2001,16.6666666666667
