"imfcode","year","legal_abs","political_abs","economic_abs"
514,2008,0.4504564,0.4904263,0.3710362
514,2009,0.4881216,0.464041,0.3779791
514,2010,0.4848167,0.5104915,0.3696611
616,1990,0.8333333,0.766467,0.45
616,1991,0.8333333,0.7834423,0.4609722
616,1992,0.8333333,0.7209423,0.5049306
616,1993,0.6375,0.647598,0.4516111
616,1994,0.6291667,0.6509314,0.4573333
616,1995,0.6785382,0.6651471,0.5095238
616,1996,0.6946484,0.6753758,0.6078121
616,1997,0.6794489,0.6760436,0.6553634
616,1998,0.6809161,0.6491553,0.708123
616,1999,0.6827282,0.6498419,0.7363558
616,2000,0.6864511,0.6486188,0.7604219
616,2001,0.7241876,0.6714581,0.7487755
616,2002,0.7120296,0.6581862,0.7390849
616,2003,0.6915026,0.6636043,0.7530155
616,2004,0.7011357,0.6694604,0.7677815
616,2005,0.7259818,0.6670402,0.7510367
616,2006,0.7212981,0.6605933,0.7299904
616,2007,0.7278434,0.6584815,0.735991
616,2008,0.7160569,0.6564264,0.7327414
616,2009,0.7126976,0.6417904,0.7224271
616,2010,0.710366,0.6667427,0.7204506
626,1990,NA,0.2666667,0.2097431
626,1991,NA,0.2791667,0.2002314
626,1992,NA,0.2479167,0.1907196
626,1993,NA,0.4358333,0.1775726
626,1994,NA,0.4643627,0.1704388
626,1995,NA,0.4643627,0.163305
626,1996,0.2331337,0.4172215,0.2207091
626,1997,0.2346538,0.384666,0.2303651
626,1998,0.2917294,0.4333605,0.2333543
626,1999,0.3071306,0.3903586,0.225097
626,2000,0.305865,0.4286067,0.2268397
626,2001,0.2744873,0.3453223,0.2565359
626,2002,0.2991991,0.3675935,0.3400054
626,2003,0.309214,0.2411541,0.3478163
626,2004,0.2755437,0.2873729,0.3513798
626,2005,0.3345481,0.2985829,0.3512003
626,2006,0.3439676,0.2768349,0.3595266
626,2007,0.2823293,0.264478,0.3175988
626,2008,0.2881656,0.2821822,0.3167043
626,2009,0.2970607,0.2841611,0.3116412
626,2010,0.3001236,0.2699263,0.3208084
156,1990,0.9444444,0.9084967,0.8206339
156,1991,0.9675926,0.9084967,0.8262706
156,1992,1,0.9084967,0.8197449
156,1993,0.825,0.838897,0.7002975
156,1994,0.825,0.8376471,0.7006325
156,1995,0.8583045,0.8417057,0.7376993
156,1996,0.8886676,0.8591051,0.7620261
156,1997,0.8903467,0.8607007,0.783279
156,1998,0.8920258,0.8503751,0.8027958
156,1999,0.8911324,0.8479891,0.802997
156,2000,0.8930838,0.8479179,0.7889919
156,2001,0.9303673,0.8960837,0.8163581
156,2002,0.8859934,0.8683235,0.8206354
156,2003,0.9106438,0.8748811,0.8380663
156,2004,0.8912223,0.8604905,0.8486132
156,2005,0.9044813,0.8761443,0.8340738
156,2006,0.9224656,0.874274,0.8387122
156,2007,0.9325848,0.8628991,0.8412277
156,2008,0.9110734,0.8629715,0.8460636
156,2009,0.9021903,0.8770448,0.8457177
156,2010,0.9041344,0.8730163,0.8489766
146,1990,1,0.8880719,0.8221843
146,1991,1,0.8880719,0.9144769
146,1992,1,0.8880719,0.8785971
146,1993,0.8208333,0.8217647,0.7377851
146,1994,0.8208333,0.8217647,0.738248
146,1995,0.845361,0.8375891,0.7355117
