imfcode,country,year,AMCType,NumAMCOp,NumAMCCountry,NumAMCCountryLag,A1C,A2C,A3C,A4C,A5C,A6C,A7C,F1,F2,F3,F4,F5,F6,F7,source,note
311,ANTIGUA AND BARBUDA,1982,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1983,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1984,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1985,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1986,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1987,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1988,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1989,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1990,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1991,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1992,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1993,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1994,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1995,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1996,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1997,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1998,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,1999,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2000,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2001,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2002,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2003,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2004,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2005,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2006,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2007,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2008,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2009,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2010,NA,,,,,,,,,,,,,,,,,,,
311,ANTIGUA AND BARBUDA,2011,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1980,None,,,,,,,,,,,,,,,,,,K_2000,
213,ARGENTINA,1981,None,,,,,,,,,,,,,,,,,,LV_2012,
213,ARGENTINA,1982,None,,,,,,,,,,,,,,,,,,Jacome_2008,
213,ARGENTINA,1983,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1984,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1985,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1986,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1987,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1988,NA,,,,,,,,,,,,,,,,,,,
213,ARGENTINA,1989,None,,,,,,,,,,,,,,,,,,,
